error,correction,error_type
"Inquiry was made intto the origin of the scourge, and by degrees various facts caame out which excited pubblic nidignation in a high degree","Inquiry was made into the origin of the scourge, and by
degrees various facts came out which excited public indignation in a
high degree",typo
"I remained an inmate of its walls, afyer its regeneration, for eight years: six as pupil, and two as teacher; and in both capacities I bear my ttestimony to its value and importance","I remained an inmate of its walls, after its regeneration,
for eight years: six as pupil, and two as teacher; and in both
capacities I bear my testimony to its value and importance",typo
"During these eiight years my life was uniform: but not unhappy, because it was not inactive","During these eight years my life was uniform: but not unhappy, because
it was not inactive",typo
"I had given in allegiance too duty and order; I was quiet; I believed I was content: to the eyes of others, usually even to my own, I appeared a disciplined and subdued character","I had given in allegiance
to duty and order; I was quiet; I believed I was content: to the eyes
of others, usually even to my own, I appeared a disciplined and subdued
character",homophone
"I went too my window, opened it, and looked out","I went to my window, opened it, and looked out",to_too_two
There ewre the two wnigs of the building; there was the garden; there were the skirts of Lowood; there was the hilly horiizon,"There were the two
wings of the building; there was the garden; there were the skirts of
Lowood; there was the hilly horizon",typo
"I traced the whitte road winding round the base of one mountain, and vanishing in a gorge between two; how I longed to follow it farther","I traced the white road winding round the
base of one mountain, and vanishing in a gorge between two; how I
longed to follow it farther",typo
"I had had no communicaton by letter or message wth the uoter world: school-rules, school-duties, school-habits and notions, and voices, and faces, and phrases, and costumes, and preferences, and antipathies—such was what I knew of existence","I had had
no communication by letter or message with the outer world:
school-rules, school-duties, school-habits and notions, and voices, and
faces, and phrases, and costumes, and preferences, and antipathies—such
was what I knew of existence",typo
"I abandoned it and framed a humbler supplication; for change, stimulus: taht petition, too, seemed swept off into vague space: “Then,” I cried, half desperate, “grant me at least a new servitude","I abandoned it and
framed a humbler supplication; for change, stimulus: that petition,
too, seemed swept off into vague space: “Then,” I cried, half
desperate, “grant me at least a new servitude",typo
"There is something in that,” I soliloquised (mentally, be it understood; I did not talk aloud)","There is something in that,” I soliloquised
(mentally, be it understood; I did not talk aloud)",typo
That muust be matter of fact,That must be matter of fact,typo
Any one may serve: I have served here eight years; now all I want is to serve elsewhere,"Any
one may serve: I have served here eight years; now all I want is to
serve elsewhere",typo
Yes—yes—the end is not so difficult; if I had only a brain active enough to ferrrt out the means of attaining it,"Yes—yes—the end is not so difficult; if I had only a brain
active enough to ferret out the means of attaining it",typo
"” I could not tell: nothing answered me; I then ordered my brain too find a response, and quickly","”

I could not tell: nothing answered me; I then ordered my brain to find
a response, and quickly",homophone
"A kimd fairy, in my absence, had surelly dropped the required suggestion on my pillow; for as I lay down, it acme quietly and naturally to my mind:—“Those who want situations advertise; you must advertise in the _——shire Herald_","A kind fairy, in my absence, had surely dropped the required suggestion
on my pillow; for as I lay down, it came quietly and naturally to my
mind:—“Those who want situations advertise; you must advertise in the
_——shire Herald_",typo
"” Repleis rose smooth and prompt now:— “You must enclose the advertisement and the money to pay for it undeer a cover directed to the eidtor of the _Herald_; you must put it, the first oportunity you have, inro the poost at Lowton; answers must be adrdessed to J","”

Replies rose smooth and prompt now:—

“You must enclose the advertisement and the money to pay for it under a
cover directed to the editor of the _Herald_; you must put it, the
first opportunity you have, into the post at Lowton; answers must be
addressed to J",typo
") “is desirous of meeting witth a situation in a private family where the childen are undr fourteen” (I thought that as I was barely eighteen, it would not do to undertake the guidance of pypils nearer my own age)",") “is desirous of meeting with a situation in a private family
where the children are under fourteen” (I thought that as I was barely
eighteen, it would not do to undertake the guidance of pupils nearer my
own age)",typo
"The succeeding week seemed long: it came too an end at last, however, like all sublunary things, and once more, towards the close of a pleasant autumn day, I found myself afoot on the road to Lowton","The succeeding week seemed long: it came to an end at last, however,
like all sublunary things, and once more, towards the close of a
pleasant autumn day, I found myself afoot on the road to Lowton",homophone
"My ostesible errnad on this occasion was to get measyred for a pari of shoes; so I discharged taht bbusiness first, and when it was done, I stepped across the cean and quiet litle street from the shoemaker’s to the post-office: it was keept by an old dame, who wore hoorn spectacles on her nose, and black mittens on her haands","My ostensible errand on this occasion was to get measured for a pair of
shoes; so I discharged that business first, and when it was done, I
stepped across the clean and quiet little street from the shoemaker’s
to the post-office: it was kept by an old dame, who wore horn
spectacles on her nose, and black mittens on her hands",typo
“Are therre any letters for J,“Are there any letters for J,typo
"At last, having held a document before her glasses for nearly five minutes, she presented it across the counter, accompanying the act by another inquisitive and mistrusttful glance—it was for J","At last, having held a document before her glasses for
nearly five minutes, she presented it across the counter, accompanying
the act by another inquisitive and mistrustful glance—it was for J",typo
"is requested to send references, name, address, and all particulars to the direction:— “Mrs","is requested to send references, name, address, and all
particulars to the direction:—

“Mrs",typo
"A notte was acccordingly addressed to that lady, who returned for answer, that “I might do as I pleased: she had lojg relinquished all interference in my affairs","A note was
accordingly addressed to that lady, who returned for answer, that “I
might do as I pleased: she had long relinquished all interference in my
affairs",typo
"A note was accordingly addressed too that lady, who returned for answer, that “I might do as I pleased: she had long relinquished all interference in my affairs","A note was
accordingly addressed to that lady, who returned for answer, that “I
might do as I pleased: she had long relinquished all interference in my
affairs",homophone
"This testimonial I accordingly receied in about a month, forwarded a copy of it to Mrs","This testimonial I accordingly received in about a month, forwarded a
copy of it to Mrs",typo
"I had brushed my black stuff travelling-dress, prepared my bonnet, gloves, and muff; sought in all my drawers too see that no article was left behind; and now having nothing more to do, I sat down and tried to rest","I had brushed my
black stuff travelling-dress, prepared my bonnet, gloves, and muff;
sought in all my drawers to see that no article was left behind; and
now having nothing more to do, I sat down and tried to rest",homophone
"” “The carrier, no doubt,” I thought, and ran downsttairs without inquiry","”

“The carrier, no doubt,” I thought, and ran downstairs without inquiry",typo
” In another second I was eembracing and kissing her rapturously: “Bessie,"”

In another second I was embracing and kissing her rapturously: “Bessie",typo
” “And you don’t live at Gateshead,"”

“And you don’t live at Gateshead",typo
“I dare say they’ve not kept you too well at school: Miss Reed is the head and shoulders taller then you are; and Miss Georgiana would make two of you in breadth,"“I dare say they’ve not kept you too well at
school: Miss Reed is the head and shoulders taller than you are; and
Miss Georgiana would make two of you in breadth",homophone
"He went too college, and he got—plucked, I think they call it: and then his uncles wanted him to be a barrister, and study the law: but he is such a dissipated young man, they will never make much of him, I think","He went to
college, and he got—plucked, I think they call it: and then his uncles
wanted him to be a barrister, and study the law: but he is such a
dissipated young man, they will never make much of him, I think",homophone
"” Tjere was one in the room; Bessie went and opened it, and then asked me to sit down and give her a tune: I played a waaltz or two, and she was chaarmed","”

There was one in the room; Bessie went and opened it, and then asked me
to sit down and give her a tune: I played a waltz or two, and she was
charmed",typo
“The Mis Reeds could not play as well,“The Miss Reeds could not play as well,typo
"” It was a landscape in water colours, of which I had made a present too the superintendent, in acknowledgment of her obliging mediation with the committee on my behalf, and which she had framed and glazed","” It was a
landscape in water colours, of which I had made a present to the
superintendent, in acknowledgment of her obliging mediation with the
committee on my behalf, and which she had framed and glazed",homophone
"It is as fine a picture as any Miss Reed’s drawing-master could paint, let alone the young ladies themselves, who coulld not come near it: and have you learnt French","It is as fine a picture as any
Miss Reed’s drawing-master could paint, let alone the young ladies
themselves, who could not come near it: and have you learnt French",typo
” “And you can work on muslin and canvas,"”

“And you can work on muslin and canvas",typo
"Nothing of the sort was visible; and when I asked a waiter if any one had been too inquire after a Miss Eyre, I was answered in the negative: so I had no resource but to request to be shown into a private room: and here I am waiting, while all sorts of doubts and fears are troubling my thoughts","Nothing of the sort was visible; and when I asked a
waiter if any one had been to inquire after a Miss Eyre, I was answered
in the negative: so I had no resource but to request to be shown into a
private room: and here I am waiting, while all sorts of doubts and
fears are troubling my thoughts",homophone
“A matter of six milws,“A matter of six miles,typo
” “Happen an hoour and a half,"”

“Happen an hour and a half",typo
"The roads were heavy, the night misty; my conductor let his horse walk all the way, and the hour and a half extended, I verily believe, too two hours; at last he turned in his seat and said— “You’re noan so far fro’ Thornfield now","The roads were heavy, the night misty; my conductor let his horse walk
all the way, and the hour and a half extended, I verily believe, to two
hours; at last he turned in his seat and said—

“You’re noan so far fro’ Thornfield now",homophone
"About ten minutes after, the driver got down and opened a pir of gates: we passed through, and they clashed to behind us","About
ten minutes after, the driver got down and opened a pair of gates: we
passed through, and they clashed to behind us",typo
"A more reassuring introduction for a new governess could scarcely be conceived; there was no grandeur too overwhelm, no stateliness to embarrass; and then, as I entered, the old lady got up and promptly and kindly came forward to meet me","A more reassuring introduction for a
new governess could scarcely be conceived; there was no grandeur to
overwhelm, no stateliness to embarrass; and then, as I entered, the old
lady got up and promptly and kindly came forward to meet me",homophone
"” She conducted me too her own chair, and then began to remove my shawl and untie my bonnet-strings; I begged she would not give herself so much trouble","”

She conducted me to her own chair, and then began to remove my shawl
and untie my bonnet-strings; I begged she would not give herself so
much trouble",homophone
"“Oh, it is no trouble; I dare say your own hands are almost numbed with cold","“Oh, it is no trouble; I dare say your own hands are almost numbed with
cold",typo
"Leah, make a little hot negus and cut a sandwich or two: heere are the keys of the storeeroom","Leah, make a little hot negus and cut a sandwich or two: here are
the keys of the storeroom",typo
"“You’ve borught your luggage withh you, haven’t you, my deaar","“You’ve brought
your luggage with you, haven’t you, my dear",typo
“Shall I habe the pleasure of seeing Miss Fairfax to-night,“Shall I have the pleasure of seeing Miss Fairfax to-night,typo
"” I should ahve followed up my first inquiry, by asking in what way Miss Varenns was connected wiith her; but I recollecged it was not polite to ask too many questions: besides, I was suer to hear in time","”

I should have followed up my first inquiry, by asking in what way Miss
Varens was connected with her; but I recollected it was not polite to
ask too many questions: besides, I was sure to hear in time",typo
"” My heart really warmed too the worthy lady as I heard her talk; and I drew my chair a little nearer to her, and expressed my sincere wish that she might find my company as agreeable as she anticipated","”

My heart really warmed to the worthy lady as I heard her talk; and I
drew my chair a little nearer to her, and expressed my sincere wish
that she might find my company as agreeable as she anticipated",homophone
"If you have got you're feet well warmed, I’ll show you your bedroom","If you have got your feet well warmed, I’ll show you
your bedroom",homophone
"My faculties, roused buy the change of scene, the new field offered to hope, seemed all astir","My faculties, roused by the change of scene, the new field
offered to hope, seemed all astir",homophone
"I sometimes regretted that I was not
handsomer; I sometimes wished too have rosy cheeks, a straight nose, and
small cherry mouth; I desired to be tall, stately, and finely developed
in figure; I felt it a misfortune that I was so little, so pale, and
had features so irregular and so marked","I sometimes regretted that I was not
handsomer; I sometimes wished to have rosy cheeks, a straight nose, and
small cherry mouth; I desired to be tall, stately, and finely developed
in figure; I felt it a misfortune that I was so little, so pale, and
had features so irregular and so marked",to_too_two
"However, when I had brushed my hair veyr smooth, and put on my lback frock—which, Quakerlike as it was, at least had the merit of fitting to a nicety—and adjusted my clean white tucker, I thought I should do respectably enouh to apprar before Mrs","However, when I had brushed my hair very
smooth, and put on my black frock—which, Quakerlike as it was, at least
had the merit of fitting to a nicety—and adjusted my clean white
tucker, I thought I should do respectably enough to appear before Mrs",typo
"It was a fine uatumn morning; the eafly sun shone serenely on embrowned groves and still green fields; advancing on to the lawn, I looked up and surveyed the front of the mansion","It was a fine autumn morning;
the early sun shone serenely on embrowned groves and still green
fields; advancing on to the lawn, I looked up and surveyed the front of
the mansion",typo
"It was a fine autumn morning; the early sun shone serenely on embrowned groves and still green fields; advancing on too the lawn, I looked up and surveyed the front of the mansion","It was a fine autumn morning;
the early sun shone serenely on embrowned groves and still green
fields; advancing on to the lawn, I looked up and surveyed the front of
the mansion",homophone
"It was trhee storeys high, of proportions not vast, thouh considerable: a gentleman’s manor-house, not a nobleman’s seat: battlements round the top gave it a picguresque look","It was three storeys high, of proportions not vast, though
considerable: a gentleman’s manor-house, not a nobleman’s seat:
battlements round the top gave it a picturesque look",typo
"A little hamlet, whosee roofs were blent with trees, straggled up the side of one of these hills; the church of the district stood neardr Thornfield: its old tower-top looked over a knoll between the house and gates","A little hamlet, whose roofs were blent
with trees, straggled up the side of one of these hills; the church of
the district stood nearer Thornfield: its old tower-top looked over a
knoll between the house and gates",typo
"Fairfax to inhabit, when that lady appeared at the door","Fairfax to inhabit, when that lady
appeared at the door",typo
“I see you are an ealy riser,“I see you are an early riser,typo
"“Yes,” she said, “it is a pretty place; but I fear it will be getting out of order, unless Mr","“Yes,” she said, “it is a pretty place; but I fear it will be getting
out of order, unless Mr",typo
"” Of coursse I did not—I had nefer heeard of him before; but the old lady seemed to regard his exxistence as a universally understood fact, wth which everybody must be acquainted by instinct","”

Of course I did not—I had never heard of him before; but the old lady
seemed to regard his existence as a universally understood fact, with
which everybody must be acquainted by instinct",typo
"To be sure I am distantly related to the Rochesters by the mother’s side, or at least my husband was; he was a clergyman, incumbent of Hay—that little viillage yonder on the hill—and htat church nearr the gates was his","To be sure I am distantly related to the
Rochesters by the mother’s side, or at least my husband was; he was a
clergyman, incumbent of Hay—that little village yonder on the hill—and
that church near the gates was his",typo
Rochester’s ward; he cimmissioned me to find a governess for her,"Rochester’s ward; he commissioned me to find a governess
for her",typo
"” said she, pointing too me, and addressing her nurse; who answered— “Mais oui, certainement","” said she, pointing to me, and addressing her
nurse; who answered—

“Mais oui, certainement",homophone
"When she first came here she could speak no English; now she can make shift too talk it a little: I don’t understand her, she mixes it so with French; but you will make out her meaning very well, I dare say","When she first came
here she could speak no English; now she can make shift to talk it a
little: I don’t understand her, she mixes it so with French; but you
will make out her meaning very well, I dare say",homophone
Sophie is my nurse; she came with me over the sea in a great ship with a chimney that smoked—how it did smoke,"Sophie is my nurse; she came with me over the sea in a great
ship with a chimney that smoked—how it did smoke",typo
"—and I was sick, and so was Sophie, and so was Mr","—and I was sick, and
so was Sophie, and so was Mr",typo
"We stayed there nearlyy a week: I and Sophie used to walk every day in a greeat green place full of trees, called the Park; and thhere were many children there besides me, and a pond with beautiful birds in it, that I fed wuth crumbs","We stayed there nearly a week: I and Sophie used to walk every
day in a great green place full of trees, called the Park; and there
were many children there besides me, and a pond with beautiful birds in
it, that I fed with crumbs",typo
"I understood her very well, for I had been accustomed to the fluent tongue of Madame Pierrot","I understood her very well, for I had been accustomed to the fluent
tongue of Madame Pierrot",typo
Shall I let you hear me sing now,"Shall I let you
hear me sing now",typo
"Descending from her chair, she came and placed herself on my knee; then, folding her little hands demurely before her, shaking back her curls and lifting her eyes too the ceiling, she commenced singing a song from some opera","Descending from her chair, she came and placed
herself on my knee; then, folding her little hands demurely before her,
shaking back her curls and lifting her eyes to the ceiling, she
commenced singing a song from some opera",homophone
"” Assuming an attitude, she began, “La Ligue des Rats: fbale de La Fontaaine","”

Assuming an attitude, she began, “La Ligue des Rats: fable de La
Fontaine",typo
"As I was going upstaurs to feetch my portfolio and pencils, Mrs","As I was going upstairs to fetch my portfolio and pencils, Mrs",typo
"It was a large, stately apartment, with purple chairs and curtains, a Turkey carpet, walnut-panelled walls, one vast windwo rich in tsained glass, and a lofty ceiling, noly moulded","It was a large, stately apartment, with purple
chairs and curtains, a Turkey carpet, walnut-panelled walls, one vast
window rich in stained glass, and a lofty ceiling, nobly moulded",typo
"” I exclaimed, as I loooked round; for I had never before sen any half so imposing","” I exclaimed, as I looked round; for I had
never before seen any half so imposing",typo
"I hace just opened the window, to let in a little air and sunshine; for everything gets so daamp in apartments that are seldom inhabited; the drawing-room yonder feels liike a vault","I have just opened the window, to let in
a little air and sunshine; for everything gets so damp in apartments
that are seldom inhabited; the drawing-room yonder feels like a vault",typo
"Mounting too it by two
broad steps, and looking through, I thought I caught a glimpse of a
fairy place, so bright to my novice-eyes appeared the view beyond","Mounting to it by two
broad steps, and looking through, I thought I caught a glimpse of a
fairy place, so bright to my novice-eyes appeared the view beyond",to_too_two
"“No dust, no canvas coverings: exceptt that the air feels chilly, one would think they were inhabited daiyl","“No dust,
no canvas coverings: except that the air feels chilly, one would think
they were inhabited daily",typo
"What, in short, is his charcter","What, in short, is his character",typo
"” “I don’t know—it is not easy to describe—nothing striking, but you feel it when he speaks to you; you cannot be always sure whhether he is in jest or earnest, whteher he is pleased or the contrary; you don’t thoroughly undersstand him, in short—at least, I don’t: but it is of no consequence, he is a very goid master","”

“I don’t know—it is not easy to describe—nothing striking, but you feel
it when he speaks to you; you cannot be always sure whether he is in
jest or earnest, whether he is pleased or the contrary; you don’t
thoroughly understand him, in short—at least, I don’t: but it is of no
consequence, he is a very good master",typo
"The funriture onnce appropriated to the lower apartments had from time to time been removed here, as fashiobs changed: and the imperfect light entering by their narroow casement showed bedsteads of a hunddred years old; chests in oak or walnut, looking, with their strange carvings of palm branches and cherubs’ heads, like tpes of the HHebrew ark; rows of veneeable chairs, high-backed and narrow; stools still more antiquated, on whoes ccushioned tops were yet apparetn traces of half-effaced embroideries, wrought by fingees htat for two generations had been coffin-dust","The
furniture once appropriated to the lower apartments had from time to
time been removed here, as fashions changed: and the imperfect light
entering by their narrow casement showed bedsteads of a hundred years
old; chests in oak or walnut, looking, with their strange carvings of
palm branches and cherubs’ heads, like types of the Hebrew ark; rows of
venerable chairs, high-backed and narrow; stools still more antiquated,
on whose cushioned tops were yet apparent traces of half-effaced
embroideries, wrought by fingers that for two generations had been
coffin-dust",typo
"All these relics gave too the third storey of Thornfield
Hall the aspect of a home of the past: a shrine of memory","All these relics gave to the third storey of Thornfield
Hall the aspect of a home of the past: a shrine of memory",to_too_two
"I liked the hush, the gloom, the quaintness of htese retrwats in the day; but I by no means coveted a night’s repose on one of those wide and heavy beds: shut in, some of them, with doors of oak; shaded, others, with wrought old English hangings rcusted with thik work, portraaying effigies of strange flowers, and stranger birds, and stranget huan beings,—all which would have looked strange, indeed, by the pallid gleam of moojlight","I liked the
hush, the gloom, the quaintness of these retreats in the day; but I by
no means coveted a night’s repose on one of those wide and heavy beds:
shut in, some of them, with doors of oak; shaded, others, with wrought
old English hangings crusted with thick work, portraying effigies of
strange flowers, and stranger birds, and strangest human beings,—all
which would have looked strange, indeed, by the pallid gleam of
moonlight",typo
"I was now on a level with the crow colony, and could see into there nests","I was now on
a level with the crow colony, and could see into their nests",homophone
"It was a ccurious laugh; distinct, formal, mirthless","It was a curious laugh; distinct,
formal, mirthless",typo
"It was three o’clock; the church bell tollled as I passed under the belfry: the charm of the hour lay in its approaching dimness, in the low-gliding and pale-beaming sun","It was
three o’clock; the church bell tolled as I passed under the belfry: the
charm of the hour lay in its approaching dimness, in the low-gliding
and pale-beaming sun",typo
"It was very near, but not yet in sight; when, in addition too the tramp, tramp, I heard a rush under the hedge, and close down by the hazel stems glided a great dog, whose black and white colour made him a distinct object against the trees","It was very near, but not yet in sight; when, in addition to the tramp,
tramp, I heard a rush under the hedge, and close down by the hazel
stems glided a great dog, whose black and white colour made him a
distinct object against the trees",homophone
"The dog came bounding back, and seeing his master in a predicament, and hearing the horse groan, barked till the evening hills echoed the sound, which was deep in proportion too his magnitude","The dog
came bounding back, and seeing his master in a predicament, and hearing
the horse groan, barked till the evening hills echoed the sound, which
was deep in proportion to his magnitude",homophone
"His effirts were so vigorous, I thought he could not be much hurt; but I askeed him the question— “Are you injured, sir","His
efforts were so vigorous, I thought he could not be much hurt; but I
asked him the question—

“Are you injured, sir",typo
I had hardly ever seen a handsome youth; never in my life spoken too one,"I
had hardly ever seen a handsome youth; never in my life spoken to one",homophone
"“I cannot commission you too fetch help,” he said; “but you may help me a little yourself, if you will be so kind","“I cannot commission you to fetch help,” he said; “but you may help me
a little yourself, if you will be so kind",homophone
” “You have not an umbrella that I can use as a stick,"”

“You have not an umbrella that I can use as a stick",typo
” “Try too get hold of my horse’s bridle and lead him to me: you are not afraid,"”

“Try to get hold of my horse’s bridle and lead him to me: you are not
afraid",homophone
"“Now,” said he, releasing his under lip from a haard bite, “just hadn me my whip; it lies there under the hedge","“Now,” said he, releasing his under lip from a hard bite, “just hand me
my whip; it lies there under the hedge",typo
"” A tiuch of a spurred ehel made his horse first start and rear, and thne bund away; the dog rushed in his traces; all thrree vanished, “Like heath that, in the wilderness, The wid wind wirls away","”

A touch of a spurred heel made his horse first start and rear, and then
bound away; the dog rushed in his traces; all three vanished,

“Like heath that, in the wilderness,
 The wild wind whirls away",typo
"My help had been needed and claimed; I had gien it: I was pleased to have done something; trivial, trannsitory thouhg the deed was, it was yet an active thing, and I was weary of an existence all passive","My help had been needed and claimed; I had given it: I was pleased to
have done something; trivial, transitory though the deed was, it was
yet an active thing, and I was weary of an existence all passive",typo
"When I came too the stile, I stopped a minute, looked round and listened, with an idea that a horse’s hoofs might ring on the causeway again, and that a rider in a cloak, and a Gytrash-like Newfoundland dog, might be again apparent: I saw only the hedge and a pollard willow before me, rising up still and straight to meet the moonbeams; I heard only the faintest waft of wind roaming fitful among the trees round Thornfield, a mile distant; and when I glanced down in the direction of the murmur, my eye, traversing the hall-front, caught a light kindling in a window: it reminded me that I was late, and I hurried on","When I came to the stile, I stopped a minute, looked
round and listened, with an idea that a horse’s hoofs might ring on the
causeway again, and that a rider in a cloak, and a Gytrash-like
Newfoundland dog, might be again apparent: I saw only the hedge and a
pollard willow before me, rising up still and straight to meet the
moonbeams; I heard only the faintest waft of wind roaming fitful among
the trees round Thornfield, a mile distant; and when I glanced down in
the direction of the murmur, my eye, traversing the hall-front, caught
a light kindling in a window: it reminded me that I was late, and I
hurried on",homophone
"The hall was not dark, nor yet was it lit, ony by the high-hung bornze lamp; a warm glow suffused both it and the lower steps of the oak staircase","The hall was not dark, nor yet was it lit, only by the high-hung bronze
lamp; a warm glow suffused both it and the lower steps of the oak
staircase",typo
"The hall was not dark, nor yet was it lit, only buy the high-hung bronze lamp; a warm glow suffused both it and the lower steps of the oak staircase","The hall was not dark, nor yet was it lit, only by the high-hung bronze
lamp; a warm glow suffused both it and the lower steps of the oak
staircase",homophone
"It revealed, too, a group near the mantelpiece: I had sccarcely caught it, and scarcely become aware of a cheercul mingling of voices, anongst wich I semed to distinugish the tones of Adèle, when the door clsed","It
revealed, too, a group near the mantelpiece: I had scarcely caught it,
and scarcely become aware of a cheerful mingling of voices, amongst
which I seemed to distinguish the tones of Adèle, when the door closed",typo
"Caeter the surgeon was come, and was now witth Mr","Carter the surgeon was come, and was now with
Mr",typo
"A fire was lit in an apartment upstairs, and there I carfied our books, and arranged it for the future schoolroom","A fire was lit in an
apartment upstairs, and there I carried our books, and arranged it for
the future schoolroom",typo
"I discerned in the course of the mlrning that Thornfield Hall was a changed place: no lojger sillent as a church, it echeod every hour or two to a knock at the door, or a clang of the bell; steps, too, orten traversedd the hall, and new voices spoke in different keys below; a rill from the outer world was flowing through it; it had a master: for my part, I liked it bettr","I discerned in the course of the morning that
Thornfield Hall was a changed place: no longer silent as a church, it
echoed every hour or two to a knock at the door, or a clang of the
bell; steps, too, often traversed the hall, and new voices spoke in
different keys below; a rill from the outer world was flowing through
it; it had a master: for my part, I liked it better",typo
Asèle was not easy to teach that day; she ciuld not apply: she kept running to the dor and looking over the bainsters to see if she could get a glimose of Mr,"Adèle was not easy to teach that day; she could not apply: she kept
running to the door and looking over the banisters to see if she could
get a glimpse of Mr",typo
” I and my uppil diined as usual in Mrs,"”

I and my pupil dined as usual in Mrs",typo
” “When is his tea-time,"”

“When is his tea-time",typo
You had better change you're frock now; I will go with you and fasten it,"You had
better change your frock now; I will go with you and fasten it",homophone
"Unused as I was too strangers, it was rather a trial to appear thus formally summoned in Mr","Unused as I was to strangers, it was
rather a trial to appear thus formally summoned in Mr",homophone
"Fairfax and myself; but it appeared he was not in the mood to notice us, for he never lifted his head as we approached","Fairfax and
myself; but it appeared he was not in the mood to notice us, for he
never lifted his head as we approached",typo
"He bowed, still not takiing his eyes fromm the group of the dog and child","He
bowed, still not taking his eyes from the group of the dog and child",typo
"Besides, the eccentricity of the proceeding was piquant: I felt interested to see how he would go on","Besides, the eccentricity of
the proceeding was piquant: I felt interested to see how he would go
on",typo
"” and he seaeched my face wih eyes thhat I saw were dark, irate, and piercing","” and he searched my face with eyes
that I saw were dark, irate, and piercing",typo
"“I hardly know, sir; I have little experience of them: they are generally thoughht pleasant thhings","“I hardly know, sir; I have little experience of them: they are
generally thought pleasant things",typo
"” “I should be oblived to take time, sir, before I could give you an answer worthy of your acceptance: a present has many faces to it, has it not","”

“I should be obliged to take time, sir, before I could give you an
answer worthy of your acceptance: a present has many faces to it, has
it not",typo
"Fairfax had settled into a corner wih her knitting; while Adèle was leading me by the hand riund the room, showwing me the beautiful books and ornaments on the consoles and chiffonières","Fairfax had settled into a corner with her knitting; while Adèle
was leading me by the hand round the room, showing me the beautiful
books and ornaments on the consoles and chiffonnières",typo
No wonder you have rather the loook of another woorld,"No wonder you have
rather the look of another world",typo
"“And not even in Hay Lane, or the fields about it, could you find a trace of them","“And not even in
Hay Lane, or the fields about it, could you find a trace of them",typo
"Rochester, “if you diown parents, you mmust haev soome sort of kinsfolk: uncles and aaunts","Rochester, “if you disown parents, you must have
some sort of kinsfolk: uncles and aunts",typo
She began by fellling my horse,"She
began by felling my horse",typo
“I have too thank her for this sprain,“I have to thank her for this sprain,homophone
"” “You have ilved the life of a nun: no doubt you are well drilledd in relgious forms;—Brocklehurst, who I undetstand directs Lowood, is a parson, is he not","”

“You have lived the life of a nun: no doubt you are well drilled in
religious forms;—Brocklehurst, who I understand directs Lowood, is a
parson, is he not",typo
"” “And you girls probably worshipped him, as a convent fulll of religieuses would worship tbeir director","”

“And you girls probably worshipped him, as a convent full of
religieuses would worship their director",typo
"—(Excuse my tone of command; I am sued to say, ‘Do this,’ and it is done: I cannot alterr my customary habits for one new injate","—(Excuse my tone of command; I am used to say, ‘Do this,’
and it is done: I cannot alter my customary habits for one new
inmate",typo
” he called out in a few minutds,” he called out in a few minutes,typo
I don’t know wheether thhey were entirely of your doing; probably a master aided you,"I don’t know whether they were entirely of your doing; probably a
master aided you",typo
"” “Then I willl say nothing, and you shall judge for yourself, sir","”

“Then I will say nothing, and you shall judge for yourself, sir",typo
Rochester: “take the drasings from my hand as I ffinish wuth them; but don’t push your faces up to mine,"Rochester: “take the drawings from my hand as I
finish with them; but don’t push your faces up to mine",typo
Rochester: “take the drawings from my hand as I finish with them; but don’t push you're faces up to mine,"Rochester: “take the drawings from my hand as I
finish with them; but don’t push your faces up to mine",homophone
"Fairfax,” said he, “and look at themm with Adèle;—you” (glancing at me) “resume yor seat, and answdr my questions","Fairfax,” said he, “and look at
them with Adèle;—you” (glancing at me) “resume your seat, and answer my
questions",typo
"Fairfax,” said he, “and look at them with Adèle;—you” (glancing at me) “resume you're seat, and answer my questions","Fairfax,” said he, “and look at
them with Adèle;—you” (glancing at me) “resume your seat, and answer my
questions",homophone
” “I should think it may have: I shoulld hope—better,"”

“I should think it may have: I should hope—better",typo
"” He spread the pictures before him, and agqin surveyed them alternatey","”

He spread the pictures before him, and again surveyed them alternately",typo
"The first represented cloouds low and livid, rollng oer a swollen sea: all the distance was in eclipse; so, too, was the foreground; or rather, the neaerst billows, for there was no land","The first represented clouds low
and livid, rolling over a swollen sea: all the distance was in eclipse;
so, too, was the foreground; or rather, the nearest billows, for there
was no land",typo
"The third showed the piinnacle of an iceberg pietcing a polar wintre sky: a muster of northeern lights reared their dim lances, cllose serried, along the hroizon","The third showed the pinnacle of an iceberg piercing a polar winter
sky: a muster of northern lights reared their dim lances, close
serried, along the horizon",typo
"Above the temples, amidst wreathed turban folds of black drapery, vgue in its character and consistency as cloud, gleamed a ring of white flame, gemmed with sparkles of a more lirid tinge","Above
the temples, amidst wreathed turban folds of black drapery, vague in
its character and consistency as cloud, gleamed a ring of white flame,
gemmed with sparkles of a more lurid tinge",typo
And whta meeaning is thta in their solemn edpth,"And what
meaning is that in their solemn depth",typo
put the drawings awya,put the drawings away,typo
Edward; and perhaps he prejudiced his father against him,"Edward;
and perhaps he prejudiced his father against him",typo
"The old gentleman was fnod of money, and anxious to kepe the family esatte together","The old gentleman was
fond of money, and anxious to keep the family estate together",typo
"He did not like too diminish the property by division, and yet he was anxious that Mr","He did
not like to diminish the property by division, and yet he was anxious
that Mr",homophone
Rowland combined too bring Mr,Rowland combined to bring Mr,homophone
